0	0.00020117885819845885
1	3.203578163894106e-05
2	4.033113790138218e-07
3	4.82362832031463e-07
4	5.286507038099491e-07
5	2.325257507158732e-05
6	1.3634270146839543e-05
7	2.604981978107795e-05
8	1.0414639379342528e-05
9	0.0002709258683275676
10	0.00035663110647406665
11	3.0419841645764057e-05
12	6.574852921275574e-05
13	6.244056816076032e-05
14	3.331284258935908e-05
15	7.191740355871262e-05
16	3.845938808797796e-05
17	3.767803783803887e-05
18	3.2426519957695217e-06
19	5.153667453878072e-06
20	8.779445328753998e-06
21	0.0004445425097050898
22	0.0001755400613196394
23	0.0001931993756272051
24	1.383973632605127e-05
25	4.690974632500621e-05
26	6.832349964267594e-06
27	1.3842507792388027e-05
28	9.4144700619282e-06
29	9.591677177928548e-05
30	8.172924672001165e-05
31	8.805407232141694e-05
32	7.940148862547718e-05
33	6.714509370261516e-05
34	4.266970914540532e-05
35	4.083887849734742e-05
36	8.350858764275276e-05
37	9.483006107935562e-05
38	6.813611871102663e-05
39	5.62971250915417e-05
40	0.00021044072376575604
41	0.00010564144248896375
42	0.0002305573554578534
43	0.00022598126809133176
44	0.00012485106568960638
45	4.6131417164400886e-05
46	0.00032552426964612996
47	0.00014128100831020842
48	0.00017756733640641317
49	4.699022189109215e-05
50	0.0003779882090653091
51	0.0003519993240089261
52	0.0002161422487981443
53	0.00043542688406909553
54	0.00016340254028037016
55	0.0002702592989327409
56	0.00033656972607679786
57	9.730991257566126e-05
58	0

RMSE: 0.03380053061139198
